tea_id,tea_name,efficacies,efficacies_korean,score_average,score_count
13,노니차,"[{""efficacy_id"": ""AABN""}, {""efficacy_id"": ""AADD""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADQ""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""세포재생""}, {""efficacy_name"": ""통증완화""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""향균작용""}, {""efficacy_name"": ""혈액순환""}]",2.42,140
14,녹두차,"[{""efficacy_id"": ""AAAE""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAH""}, {""efficacy_id"": ""AAAL""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AAAW""}, {""efficacy_id"": ""AABG""}, {""efficacy_id"": ""AABL""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADO""}, {""efficacy_id"": ""AADQ""}]","[{""efficacy_name"": ""거담작용""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""고혈압혈압강하""}, {""efficacy_name"": ""기력회복""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""면역기능상승""}, {""efficacy_name"": ""빈혈예방""}, {""efficacy_name"": ""성장촉진""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""해독작용""}, {""efficacy_name"": ""향균작용""}]",4.9,349
15,누룽지차,"[{""efficacy_id"": ""AAAO""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AAAW""}, {""efficacy_id"": ""AABK""}, {""efficacy_id"": ""AABP""}, {""efficacy_id"": ""AABS""}, {""efficacy_id"": ""AACH""}]","[{""efficacy_name"": ""뇌혈관질환예방""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""면역기능상승""}, {""efficacy_name"": ""성인병예방""}, {""efficacy_name"": ""소화불량해소""}, {""efficacy_name"": ""숙취해소""}, {""efficacy_name"": ""위장기능강화""}]",3.35,915
16,당귀차,"[{""efficacy_id"": ""AABG""}, {""efficacy_id"": ""AACY""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""빈혈예방""}, {""efficacy_name"": ""치매예방""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""혈액순환""}]",2.98,1408
17,더덕차,"[{""efficacy_id"": ""AAAE""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAL""}, {""efficacy_id"": ""AAAS""}, {""efficacy_id"": ""AABQ""}, {""efficacy_id"": ""AACR""}, {""efficacy_id"": ""AACV""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADK""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADO""}, {""efficacy_id"": ""AADQ""}, {""efficacy_id"": ""AADS""}, {""efficacy_id"": ""AADV""}]","[{""efficacy_name"": ""거담작용""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""기력회복""}, {""efficacy_name"": ""돌연변이억제""}, {""efficacy_name"": ""수렴작용""}, {""efficacy_name"": ""진정작용""}, {""efficacy_name"": ""체내의중금속제거""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항산화작용""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""해독작용""}, {""efficacy_name"": ""향균작용""}, {""efficacy_name"": ""혈관이완""}, {""efficacy_name"": ""활성산소제거}]",4.04,31
18,대나무차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAE""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAH""}, {""efficacy_id"": ""AAAQ""}, {""efficacy_id"": ""AAAS""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AABK""}, {""efficacy_id"": ""AABQ""}, {""efficacy_id"": ""AACA""}, {""efficacy_id"": ""AACR""}, {""efficacy_id"": ""AACV""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADK""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADO""}, {""efficacy_id"": ""AADV""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""거담작용""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""고혈압혈압강하""}, {""efficacy_name"": ""다이어트""}, {""efficacy_name"": ""돌연변이억제""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""성인병예방""}, {""efficacy_name"": ""수렴작용""}, {""efficacy_name"": ""심신안정""}, {""efficacy_name"": ""진정작용""}, {""efficacy_name"": ""체내의중금속제거""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항산화작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""해독작용""}, {""efficacy_name"": ""활성산소제거""}]",3.72,1314
19,대추차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AABD""}, {""efficacy_id"": ""AABP""}, {""efficacy_id"": ""AABR""}, {""efficacy_id"": ""AABT""}, {""efficacy_id"": ""AABW""}, {""efficacy_id"": ""AACK""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""불면증예방""}, {""efficacy_name"": ""소화불량해소""}, {""efficacy_name"": ""수족냉증개선""}, {""efficacy_name"": ""스트레스완화""}, {""efficacy_name"": ""신경완화""}, {""efficacy_name"": ""이뇨작용""}]",3.26,415
20,대파차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AAAW""}, {""efficacy_id"": ""AABF""}, {""efficacy_id"": ""AABH""}, {""efficacy_id"": ""AABM""}, {""efficacy_id"": ""AABO""}, {""efficacy_id"": ""AABT""}, {""efficacy_id"": ""AABV""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""면역기능상승""}, {""efficacy_name"": ""비염""}, {""efficacy_name"": ""뼈튼튼""}, {""efficacy_name"": ""세포손상방지""}, {""efficacy_name"": ""소염작용""}, {""efficacy_name"": ""스트레스완화""}, {""efficacy_name"": ""신경세포강화""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""혈액순환""}]",3.53,539
21,복숭화꽃차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AABG""}, {""efficacy_id"": ""AABH""}, {""efficacy_id"": ""AABL""}, {""efficacy_id"": ""AABM""}, {""efficacy_id"": ""AABT""}, {""efficacy_id"": ""AABV""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AACS""}, {""efficacy_id"": ""AACY""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADN""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""빈혈예방""}, {""efficacy_name"": ""뼈튼튼""}, {""efficacy_name"": ""성장촉진""}, {""efficacy_name"": ""세포손상방지""}, {""efficacy_name"": ""스트레스완화""}, {""efficacy_name"": ""신경세포강화""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""진통및생리통완화""}, {""efficacy_name"": ""치매예방""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항우울""}]",4.69,713
22,동백차,"[{""efficacy_id"": ""AACL""}, {""efficacy_id"": ""AACQ""}, {""efficacy_id"": ""AADC""}]","[{""efficacy_name"": ""인후통""}, {""efficacy_name"": ""지혈""}, {""efficacy_name"": ""토혈""}]",4.3,568
